LOCATIONID,LATITUDE,LONGITUDE,TOWN,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE,parking,charging_station,fast_food,cafe,toilets,restaurant,convenience,playground,park,community_centre,bar,pub,supermarket,sports_centre,hotel,museum,theatre,hospital,library,zoo,cinema,bakery,motorway,trunk,primary,secondary,TOWN_NR,COUNTRY,AVG_ICOME,COST_OF_LIVING,NET_INCOME,CARS_PER_100,EV_RATE,POPULATION,POP_DENSITY,AGE_20,AGE_40,AGE_60,AGE_80,AGE_100,AVG_TRAFFIC_DUR
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,8,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,30501.020000000004,2541.751666666667,37440,720,0.8147,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",533.625
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,2,17,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,27442.26,2286.8550000000005,37440,720,0.733,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",517.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,7,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,21935.5,1827.9583333333337,37440,720,0.5859,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",526.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,3,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,2268.13,189.01083333333335,37440,720,0.0606,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",439.625
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,4,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,3807.8,317.31666666666666,37440,720,0.1017,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",445.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,6,8,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,10244.97,853.7475,38160,720,0.2685,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",480.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,10,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,33703.630000000005,2808.6358333333333,37440,720,0.9002,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",473.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,3,6,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,12022.02,1001.835,37440,720,0.3211,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",508.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,3,11,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,33668.119999999995,2805.6766666666667,37440,720,0.8993,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",491.625
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,14,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2]",50000,300000,12,25231.429999999993,2102.6191666666664,37440,720,0.6739,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",521.375
