LATITUDE,LONGITUDE,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,CHARGING_CAPACITY,CHARGE_PERCENTAGE,motorway,trunk,primary,secondary,POPULATION,POP_DENSITY,AGE_20,AGE_40,AGE_60,AGE_80,AGE_100,COST_OF_LIVING,NET_INCOME,CARS_PER_100,EV_RATE,AVG_TRAFFIC_DUR,_EVENING,_MIDDAY,_MORNING,_NIGHT,_WEEKEND,_WORKDAY,FOOD_&_BEVERAGE,RETAIL_&_CONVENIENCE,COMPETITORS,ENTERTAINMENT,HEALTH_&_SERVICES
52.011913,4.315493,50000,300000,37440,0.1432,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,477.625,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5555,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,562.75,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6429,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,580.25,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.1931,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,470.875,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0549,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,449.75,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,38160,0.6385,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,501.75,0,1,0,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.4071,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,443.875,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.7738,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,516.625,0,1,0,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.2138,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,478.25,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0843,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,439.625,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5779,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,506.75,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6741,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,490.875,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0649,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,474.75,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0762,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,479.625,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5228,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,500.25,1,0,0,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.3446,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,441.625,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.7634,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,562.0,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5306,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,503.75,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.37,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,442.25,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6937,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,512.875,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.7163,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,494.5,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.3034,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,480.875,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5347,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,468.75,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.3609,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,484.75,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,38160,0.6218,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,511.375,0,1,0,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.2887,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,516.625,0,0,1,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.1076,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,440.0,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.2067,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,437.25,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,38160,0.1606,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,471.875,0,0,1,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,1.0158,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,489.25,0,0,1,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6092,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,508.375,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.4145,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,489.25,0,0,1,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.5704,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,523.125,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6376,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,489.0,1,0,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.8973,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,490.5,0,0,1,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.1619,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,464.125,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.6443,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,561.625,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,38160,0.6826,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,504.125,0,1,0,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.8027,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,480.75,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.2575,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,475.0,0,0,1,0,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.4141,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,451.375,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0887,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,452.5,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.4207,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,455.625,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0791,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,464.0,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.4895,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,588.375,0,0,1,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.0973,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,447.125,0,0,0,1,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.7358,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,507.25,0,1,0,0,0,1,9.0,2.0,32.0,43.0,186.0
52.011913,4.315493,50000,300000,37440,0.486,7,0,51,92,8250,2806.0,18.24,39.73,20.36,18.03,3.74,1100,28800,47.5,5.5,474.0,0,0,0,1,1,0,9.0,2.0,32.0,43.0,186.0
