LOCATIONID,LATITUDE,LONGITUDE,CITY,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,06,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,12022.02,1001.835,37440,720,0.3211
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,11,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,33668.119999999995,2805.6766666666667,37440,720,0.8993
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,14,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2]",50000,300000,12,25231.429999999993,2102.6191666666664,37440,720,0.6739
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,22,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,11578.679999999998,964.89,37440,720,0.3093
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Sunday,03,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2497.5,208.125,38160,720,0.0654
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,13,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,23270.530000000002,1939.2108333333335,37440,720,0.6215
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,22,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,7487.84,623.98666666666668,37440,720,0.2
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Wednesday,22,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,9310.71,775.89249999999993,37440,720,0.2487
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,11,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,36783.179999999993,3065.265,37440,720,0.9825
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,20,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,14840.140000000001,1236.6783333333333,37440,720,0.3964
